Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
,9,114,cfdcfca,c,f,d,c,f,c,a,,,
,9,115,cfdcfca,c,f,d,c,f,c,a,,,
,9,116,cfdcfca,c,f,d,c,f,c,a,,,
XC21685,9,117,cfbfb,c,f,b,f,b,,,,,
,9,118,cfbfb,c,f,b,f,b,,,,,
,9,119,cfbfb,c,f,b,f,b,,,,,
,9,120,cfbfb,c,f,b,f,b,,,,,
,9,121,cfbfb,c,f,b,f,b,,,,,
XC21683,10,122,ageg,a,g,e,g,,,,,,
,10,123,ageg,a,g,e,g,,,,,,
,10,124,ageg,a,g,e,g,,,,,,
,10,125,ageg,a,g,e,g,,,,,,
,10,126,ageg,a,g,e,g,,,,,,
,10,127,ageg,a,g,e,g,,,,,,
,10,128,ageg,a,g,e,g,,,,,,
,10,129,ageg,a,g,e,g,,,,,,
XC21682,10,130,cbdfbd,c,b,d,f,b,d,,,,
,10,131,cbdfbd,c,b,d,f,b,d,,,,
,10,132,cbdfbd,c,b,d,f,b,d,,,,
,10,133,cbdfbd,c,b,d,f,b,d,,,,
,10,134,cbdfbd,c,b,d,f,b,d,,,,
,10,135,cbdfbd,c,b,d,f,b,d,,,,
XC21680,10,136,acee,a,c,e,e,,,,,,
,10,137,acee,a,c,e,e,,,,,,
,10,138,acee,a,c,e,e,,,,,,
,10,139,acee,a,c,e,e,,,,,,
,10,140,acee,a,c,e,e,,,,,,
,10,141,acee,a,c,e,e,,,,,,
XC21679,10,142,cbfbfb,c,b,f,b,f,b,,,,
,10,143,cbfbfb,c,b,f,b,f,b,,,,
,10,144,cbfbfb,c,b,f,b,f,b,,,,
,10,145,cbfbfb,c,b,f,b,f,b,,,,
,10,146,cbfbfb,c,b,f,b,f,b,,,,
,10,147,cbfbfb,c,b,f,b,f,b,,,,
,10,148,cbfbfb,c,b,f,b,f,b,,,,
,10,149,cbfbfb,c,b,f,b,f,b,,,,
,10,150,cbfbfb,c,b,f,b,f,b,,,,
,10,151,cbfbfb,c,b,f,b,f,b,,,,
,10,152,cbfbfb,c,b,f,b,f,b,,,,
XC168132,11,153,afbadb,a,f,b,a,d,b,,,,
,11,154,afbadb,a,f,b,a,d,b,,,,
,11,155,afbadb,a,f,b,a,d,b,,,,
,11,156,afbadb,a,f,b,a,d,b,,,,
