Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,,,,,,,,,,,
,5,66,lllg,l,l,l,g,,,,,,,,,,,,,,,,,,
,5,67,lllg,l,l,l,g,,,,,,,,,,,,,,,,,,
ML150927601,6,68,eeeeeeee,e,e,e,e,e,e,e,e,,,,,,,,,,,,,,
,6,69,eeeeeeee,e,e,e,e,e,e,e,e,,,,,,,,,,,,,,
,6,70,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
,6,71,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
,6,72,eeeeeeee,e,e,e,e,e,e,e,e,,,,,,,,,,,,,,
,6,73,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
,6,74,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
ML150927551,6,75,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
,6,76,eeeeee,e,e,e,e,e,e,,,,,,,,,,,,,,,,
ML91854461,7,77,kbbbbbbbbddddd,k,b,b,b,b,b,b,b,b,d,d,d,d,d,,,,,,,,
,7,78,kbbbbbbbbddddd,k,b,b,b,b,b,b,b,b,d,d,d,d,d,,,,,,,,
ML91854451,7,79,cggggg,c,g,g,g,g,g,,,,,,,,,,,,,,,,
,7,80,kbbbbbbbbddddd,k,b,b,b,b,b,b,b,b,d,d,d,d,d,,,,,,,,
ML91854441,7,81,gggg,g,g,g,g,,,,,,,,,,,,,,,,,,
,7,82,ggggg,g,g,g,g,g,,,,,,,,,,,,,,,,,
,7,83,ggggg,g,g,g,g,g,,,,,,,,,,,,,,,,,
ML50688851,8,84,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,8,85,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,8,86,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,8,87,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,8,88,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
XC568215,9,89,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,90,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,91,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,92,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,93,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
XC568214,9,94,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,95,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,96,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
,9,97,ccbgggg,c,c,b,g,g,g,g,,,,,,,,,,,,,,,
XC568213,9,98,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,99,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,100,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,101,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,102,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,103,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,104,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,105,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
XC568216,9,106,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,107,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,108,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,109,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,110,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
,9,111,lbcbcbc,l,b,c,b,c,b,c,,,,,,,,,,,,,,,
XC157924,10,112,egggggg,e,g,g,g,g,g,g,,,,,,,,,,,,,,,
,10,113,egggggg,e,g,g,g,g,g,g,,,,,,,,,,,,,,,
,10,114,egggggg,e,g,g,g,g,g,g,,,,,,,,,,,,,,,
,10,115,egggggg,e,g,g,g,g,g,g,,,,,,,,,,,,,,,
