Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
,5,110,ccadadc,c,c,a,d,a,d,c,,,
,5,111,ccadadc,c,c,a,d,a,d,c,,,
,5,112,ccadadc,c,c,a,d,a,d,c,,,
,5,113,ccadadc,c,c,a,d,a,d,c,,,
,5,114,ccadadc,c,c,a,d,a,d,c,,,
,5,115,ccadadc,c,c,a,d,a,d,c,,,
,5,116,ccadabc,c,c,a,d,a,b,c,,,
,5,117,ccadadc,c,c,a,d,a,d,c,,,
ML221094,6,118,cbcbcbc,c,b,c,b,c,b,c,,,
,6,119,cbcbcbc,c,b,c,b,c,b,c,,,
,6,120,cbcbcbc,c,b,c,b,c,b,c,,,
,6,121,cbcbcbc,c,b,c,b,c,b,c,,,
,6,122,cbcbcbc,c,b,c,b,c,b,c,,,
,6,123,cbcbcbc,c,b,c,b,c,b,c,,,
,6,124,cbcbcbc,c,b,c,b,c,b,c,,,
,6,125,cbcbcbc,c,b,c,b,c,b,c,,,
,6,126,cbcbcbc,c,b,c,b,c,b,c,,,
,6,127,cbcbcbc,c,b,c,b,c,b,c,,,
,6,128,cbcbcbc,c,b,c,b,c,b,c,,,
,6,129,cbcbcbc,c,b,c,b,c,b,c,,,
,6,130,cbcbcbc,c,b,c,b,c,b,c,,,
,6,131,cbcbcbc,c,b,c,b,c,b,c,,,
,6,132,cbcbcbc,c,b,c,b,c,b,c,,,
,6,133,cbcbcbc,c,b,c,b,c,b,c,,,
,6,134,cbcbcbc,c,b,c,b,c,b,c,,,
,6,135,cbcbcbc,c,b,c,b,c,b,c,,,
,6,136,cbcbcbc,c,b,c,b,c,b,c,,,
,6,137,cbcbcbc,c,b,c,b,c,b,c,,,
XC313828,7,138,bdcdcdc,b,d,c,d,c,d,c,,,
,7,139,bdcdcdc,b,d,c,d,c,d,c,,,
,7,140,bdcdcdc,b,d,c,d,c,d,c,,,
,7,141,bdcdcdc,b,d,c,d,c,d,c,,,
,7,142,bdcdcdc,b,d,c,d,c,d,c,,,
,7,143,bdcdcdc,b,d,c,d,c,d,c,,,
,7,144,bdcdcdc,b,d,c,d,c,d,c,,,
,7,145,bdcdcdc,b,d,c,d,c,d,c,,,
XC313827,8,146,adadabc,a,d,a,d,a,b,c,,,
,8,147,adadabc,a,d,a,d,a,b,c,,,
,8,148,dadabc,d,a,d,a,b,c,,,,
,8,149,dadabc,d,a,d,a,b,c,,,,
,8,150,adadabc,a,d,a,d,a,b,c,,,
,8,151,adadabc,a,d,a,d,a,b,c,,,
,8,152,adadabc,a,d,a,d,a,b,c,,,
,8,153,adadabc,a,d,a,d,a,b,c,,,
,8,154,adadabc,a,d,a,d,a,b,c,,,
,8,155,adadabc,a,d,a,d,a,b,c,,,
,8,156,adadabc,a,d,a,d,a,b,c,,,
,8,157,adadabc,a,d,a,d,a,b,c,,,
,8,158,adadabc,a,d,a,d,a,b,c,,,
,8,159,adadabc,a,d,a,d,a,b,c,,,
XC133360,9,160,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,161,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,162,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,163,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,164,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,165,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,166,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,167,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,168,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,169,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,170,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,171,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,172,ababcababc,a,b,a,b,c,a,b,a,b,c
,9,173,ababcababc,a,b,a,b,c,a,b,a,b,c
XC133362,9,174,acabcacabc,a,c,a,b,c,a,c,a,b,c
,9,175,acabcacabc,a,c,a,b,c,a,c,a,b,c
,9,176,acabcacabc,a,c,a,b,c,a,c,a,b,c
,9,177,acabcacabc,a,c,a,b,c,a,c,a,b,c
XC114801,10,178,ccfcfcf,c,c,f,c,f,c,f,,,
,10,179,ccfcfcf,c,c,f,c,f,c,f,,,
XC80396,11,180,bababababa,b,a,b,a,b,a,b,a,b,a
,11,181,bababababa,b,a,b,a,b,a,b,a,b,a
,11,182,bababababa,b,a,b,a,b,a,b,a,b,a
,11,183,bababababa,b,a,b,a,b,a,b,a,b,a
,11,184,bababababa,b,a,b,a,b,a,b,a,b,a
,11,185,bababababa,b,a,b,a,b,a,b,a,b,a
,11,186,bababababa,b,a,b,a,b,a,b,a,b,a
,11,187,bababababa,b,a,b,a,b,a,b,a,b,a
