Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,,,,,,,,,
ML281866901 / XC604593,1,1,abbbbbbbbbbbiiiiii,a,b,b,b,b,b,b,b,b,b,b,b,i,i,i,i,i,i,,
ML280550671,2,2,aaaaaaaaaahhhhhgggh,a,a,a,a,a,a,a,a,a,a,h,h,h,h,h,g,g,g,h,
,2,3,haaaaaaaahhhhhhhhggg,h,a,a,a,a,a,a,a,a,h,h,h,h,h,h,h,h,g,g,g
ML218943421,3,4,aaahhhhiiiiiiii,a,a,a,h,h,h,h,i,i,i,i,i,i,i,i,,,,,
,3,5,aaabbbbiiiii,a,a,a,b,b,b,b,i,i,i,i,i,,,,,,,,
,3,6,aaabbbiiiii,a,a,a,b,b,b,i,i,i,i,i,,,,,,,,,
,3,7,aaaahhhiiiiiiiii,a,a,a,a,h,h,h,i,i,i,i,i,i,i,i,i,,,,
,3,8,aaaahhhhiiiiiiiii,a,a,a,a,h,h,h,h,i,i,i,i,i,i,i,i,i,,,
,3,9,aaaahhhhiiiiiiii,a,a,a,a,h,h,h,h,i,i,i,i,i,i,i,i,,,,
ML218943381,3,10,aaaaaaaahhhhh,a,a,a,a,a,a,a,a,h,h,h,h,h,,,,,,,
,3,11,aaaaaaahhhhh,a,a,a,a,a,a,a,h,h,h,h,h,,,,,,,,
ML175353,4,12,bbbbbbbbbbbiiii,b,b,b,b,b,b,b,b,b,b,b,i,i,i,i,,,,,
,4,13,bbbbbbiiiii,b,b,b,b,b,b,i,i,i,i,i,,,,,,,,,
,4,14,bbbbbbbbbiiiii,b,b,b,b,b,b,b,b,b,i,i,i,i,i,,,,,,
,4,15,aaaaagggggg,a,a,a,a,a,g,g,g,g,g,g,,,,,,,,,
,4,16,aaaaaaaagggggg,a,a,a,a,a,a,a,a,g,g,g,g,g,g,,,,,,
,4,17,bbaaaaaagggggg,b,b,a,a,a,a,a,a,g,g,g,g,g,g,,,,,,
,4,18,bbaaaaaggggggg,b,b,a,a,a,a,a,g,g,g,g,g,g,g,,,,,,
,4,19,bbaaaaaagggggg,b,b,a,a,a,a,a,a,g,g,g,g,g,g,,,,,,
,4,20,bbaaaaaaagggggg,b,b,a,a,a,a,a,a,a,g,g,g,g,g,g,,,,,
,4,21,bbaaaaaagggggg,b,b,a,a,a,a,a,a,g,g,g,g,g,g,,,,,,
,4,22,bbaaaaaagggggg,b,b,a,a,a,a,a,a,g,g,g,g,g,g,,,,,,
,4,23,bbaaaaaggggggg,b,b,a,a,a,a,a,g,g,g,g,g,g,g,,,,,,
,4,24,baaaiiiiiih,b,a,a,a,i,i,i,i,i,i,h,,,,,,,,,
,4,25,aaaahhiiiih,a,a,a,a,h,h,i,i,i,i,h,,,,,,,,,
ML175348,4,26,ahhhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,
,4,27,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,28,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,29,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,30,ahhhhhhhhhhhhiiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,,,
,4,31,ahhhhhhhhhhhhiiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,,,
,4,32,ahhhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,
,4,33,ahhhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,
,4,34,ahhhhhhhhhhhhiiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,,,
,4,35,ahhhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,
,4,36,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,37,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,38,ahhhhhhhhhhhhiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,
,4,39,ahhhhhhhhhhhiiiii,a,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,i,,,
,4,40,ahhhhhhhhhhhhiiii,a,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,,,
,4,41,hhhhhhhhhhhhiii,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,,,,,
XC573154,5,42,aaaaaaaaaahhhhhhlll,a,a,a,a,a,a,a,a,a,a,h,h,h,h,h,h,l,l,l,
,5,43,aaaaaaaaaahhhhhlll,a,a,a,a,a,a,a,a,a,a,h,h,h,h,h,l,l,l,,
,5,44,aaaaaaaaaaahhhhlll,a,a,a,a,a,a,a,a,a,a,a,h,h,h,h,l,l,l,,
XC156784,6,45,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
