Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,
XC613232,11,97,bcbcbcb,b,c,b,c,b,c,b,,,,,
,11,98,bcbcbcb,b,c,b,c,b,c,b,,,,,
XC533828,12,99,kcgcgcgc,k,c,g,c,g,c,g,c,,,,
,12,100,kcgcgcgc,k,c,g,c,g,c,g,c,,,,
XC255891,13,101,gchchch,g,c,h,c,h,c,h,,,,,
,13,102,hchchch,h,c,h,c,h,c,h,,,,,
,13,103,hchchch,h,c,h,c,h,c,h,,,,,
,13,104,hchchch,h,c,h,c,h,c,h,,,,,
,13,105,hchchch,h,c,h,c,h,c,h,,,,,
,13,106,hchchch,h,c,h,c,h,c,h,,,,,
XC243517,14,107,hbgbgbgb,h,b,g,b,g,b,g,b,,,,
,14,108,bgbgbgb,b,g,b,g,b,g,b,,,,,
,14,109,bgbgbgb,b,g,b,g,b,g,b,,,,,
,14,110,bgbgbgb,b,g,b,g,b,g,b,,,,,
,14,111,abcbcbcbcb,a,b,c,b,c,b,c,b,c,b,,
,14,112,bgbgbgb,b,g,b,g,b,g,b,,,,,
,14,113,bgbgbgb,b,g,b,g,b,g,b,,,,,
XC201801,15,114,bgbgbgb,b,g,b,g,b,g,b,,,,,
XC106796,16,115,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,116,bcbcbcb,b,c,b,c,b,c,b,,,,,
,16,117,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,118,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,119,bcbcbcb,b,c,b,c,b,c,b,,,,,
,16,120,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,121,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,122,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,123,bcbcbcb,b,c,b,c,b,c,b,,,,,
XC106795,16,124,bcbcbcb,b,c,b,c,b,c,b,,,,,
,16,125,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,16,126,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
XC21704,17,127,acbcbcb,a,c,b,c,b,c,b,,,,,
,17,128,acbcbcb,a,c,b,c,b,c,b,,,,,
XC21703,17,129,chchchc,c,h,c,h,c,h,c,,,,,
,17,130,chchchc,c,h,c,h,c,h,c,,,,,
,17,131,chchchc,c,h,c,h,c,h,c,,,,,
,17,132,chchchc,c,h,c,h,c,h,c,,,,,
,17,133,chchc,c,h,c,h,c,,,,,,,
,17,134,chchc,c,h,c,h,c,,,,,,,
