Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,
,7,121,dcbdd,d,c,b,d,d,,,,
,7,122,dcbdd,d,c,b,d,d,,,,
,7,123,dcbdd,d,c,b,d,d,,,,
,7,124,dcbdd,d,c,b,d,d,,,,
,7,125,dcbdd,d,c,b,d,d,,,,
,7,126,dcbdd,d,c,b,d,d,,,,
,7,127,dcbdd,d,c,b,d,d,,,,
,7,128,dcbdd,d,c,b,d,d,,,,
XC157917,7,129,eafad,e,a,f,a,d,,,,
,7,130,eafad,e,a,f,a,d,,,,
,7,131,eafad,e,a,f,a,d,,,,
,7,132,eafad,e,a,f,a,d,,,,
,7,133,eafad,e,a,f,a,d,,,,
,7,134,eafad,e,a,f,a,d,,,,
,7,135,eafad,e,a,f,a,d,,,,
,7,136,eafad,e,a,f,a,d,,,,
,7,137,eafad,e,a,f,a,d,,,,
XC21702,8,138,caabbbbb,c,a,a,b,b,b,b,b,
,8,139,caabbbbbb,c,a,a,b,b,b,b,b,b
,8,140,caabbbbb,c,a,a,b,b,b,b,b,
,8,141,caabbbbb,c,a,a,b,b,b,b,b,
,8,142,caabbbbb,c,a,a,b,b,b,b,b,
,8,143,caabbbbb,c,a,a,b,b,b,b,b,
,8,144,caabbbbbb,c,a,a,b,b,b,b,b,b
XC21701,9,145,kaeb,k,a,e,b,,,,,
,9,146,kaeb,k,a,e,b,,,,,
XC21699,9,147,dacadd,d,a,c,a,d,d,,,
,9,148,dacadd,d,a,c,a,d,d,,,
,9,149,dacadd,d,a,c,a,d,d,,,
,9,150,dacadd,d,a,c,a,d,d,,,
,9,151,dacadd,d,a,c,a,d,d,,,
,9,152,dacadd,d,a,c,a,d,d,,,
,9,153,dacadd,d,a,c,a,d,d,,,
,9,154,dacadd,d,a,c,a,d,d,,,
,9,155,dacadd,d,a,c,a,d,d,,,
XC21698,10,156,baab,b,a,a,b,,,,,
,10,157,baab,b,a,a,b,,,,,
,10,158,baab,b,a,a,b,,,,,
,10,159,baab,b,a,a,b,,,,,
,10,160,baab,b,a,a,b,,,,,
,10,161,baab,b,a,a,b,,,,,
,10,162,baab,b,a,a,b,,,,,
,10,163,baab,b,a,a,b,,,,,
,10,164,baab,b,a,a,b,,,,,
,10,165,baab,b,a,a,b,,,,,
,10,166,baab,b,a,a,b,,,,,
,10,167,baab,b,a,a,b,,,,,
,10,168,baab,b,a,a,b,,,,,
,10,169,baab,b,a,a,b,,,,,
,10,170,baab,b,a,a,b,,,,,
,10,171,baab,b,a,a,b,,,,,
,10,172,baab,b,a,a,b,,,,,
,10,173,baab,b,a,a,b,,,,,
XC21697,10,174,ddd,d,d,d,,,,,,
,10,175,ddd,d,d,d,,,,,,
,10,176,ddd,d,d,d,,,,,,
,10,177,ddd,d,d,d,,,,,,
,10,178,ddd,d,d,d,,,,,,
,10,179,ddd,d,d,d,,,,,,
,10,180,ddd,d,d,d,,,,,,
,10,181,ddd,d,d,d,,,,,,
,10,182,ddd,d,d,d,,,,,,
,10,183,ddd,d,d,d,,,,,,
,10,184,ddd,d,d,d,,,,,,
,10,185,ddd,d,d,d,,,,,,
,10,186,ddd,d,d,d,,,,,,
,10,187,ddd,d,d,d,,,,,,
XC21696,10,188,dcacad,d,c,a,c,a,d,,,
,10,189,dcacad,d,c,a,c,a,d,,,
,10,190,dcacad,d,c,a,c,a,d,,,
,10,191,dcacad,d,c,a,c,a,d,,,
,10,192,dcacad,d,c,a,c,a,d,,,
,10,193,dcacad,d,c,a,c,a,d,,,
,10,194,dcacad,d,c,a,c,a,d,,,
,10,195,dcacad,d,c,a,c,a,d,,,
,10,196,dcacad,d,c,a,c,a,d,,,
XC336387,11,197,bacbdd,b,a,c,b,d,d,,,
,11,198,bacbdd,b,a,c,b,d,d,,,
,11,199,bacbdd,b,a,c,b,d,d,,,
,11,200,bacbdd,b,a,c,b,d,d,,,
,11,201,bacbdd,b,a,c,b,d,d,,,
,11,202,bacbdd,b,a,c,b,d,d,,,
,11,203,bacbdd,b,a,c,b,d,d,,,
,11,204,bacbdd,b,a,c,b,d,d,,,
,11,205,bacbdd,b,a,c,b,d,d,,,
,11,206,bacbdd,b,a,c,b,d,d,,,
,11,207,bacbdd,b,a,c,b,d,d,,,
,11,208,bacbdd,b,a,c,b,d,d,,,
,11,209,bacbdd,b,a,c,b,d,d,,,
XC177706,12,210,babadd,b,a,b,a,d,d,,,
,12,211,babadd,b,a,b,a,d,d,,,
,12,212,babadd,b,a,b,a,d,d,,,
,12,213,babadd,b,a,b,a,d,d,,,
,12,214,babadd,b,a,b,a,d,d,,,
,12,215,babadd,b,a,b,a,d,d,,,
,12,216,babadd,b,a,b,a,d,d,,,
,12,217,babadd,b,a,b,a,d,d,,,
,12,218,babadd,b,a,b,a,d,d,,,
AV8652,13,219,bcdd,b,c,d,d,,,,,
,13,220,bcdd,b,c,d,d,,,,,
,13,221,bcdd,b,c,d,d,,,,,
,13,222,bcdd,b,c,d,d,,,,,
,13,223,bcdd,b,c,d,d,,,,,
,13,224,bcdd,b,c,d,d,,,,,
,13,225,bcdd,b,c,d,d,,,,,
,13,226,bcdd,b,c,d,d,,,,,
,13,227,bcdd,b,c,d,d,,,,,
,13,228,bcdd,b,c,d,d,,,,,
,13,229,bcdd,b,c,d,d,,,,,
,13,230,bcdd,b,c,d,d,,,,,
,13,231,bcdd,b,c,d,d,,,,,
,13,232,bcdd,b,c,d,d,,,,,
,13,233,kfad,k,f,a,d,,,,,
,13,234,afad,a,f,a,d,,,,,
,13,235,eafad,e,a,f,a,d,,,,
,13,236,eafad,e,a,f,a,d,,,,
,13,237,babadd,b,a,b,a,d,d,,,
,13,238,babadd,b,a,b,a,d,d,,,
,13,239,babadd,b,a,b,a,d,d,,,
,13,240,babadd,b,a,b,a,d,d,,,
,13,241,babadd,b,a,b,a,d,d,,,
AV20013,14,242,acc,a,c,c,,,,,,
,14,243,acc,a,c,c,,,,,,
,14,244,acc,a,c,c,,,,,,
,14,245,acc,a,c,c,,,,,,
,14,246,acc,a,c,c,,,,,,
,14,247,acc,a,c,c,,,,,,
,14,248,acc,a,c,c,,,,,,
,14,249,acc,a,c,c,,,,,,
,14,250,acc,a,c,c,,,,,,
,14,251,acc,a,c,c,,,,,,
,14,252,acc,a,c,c,,,,,,
,14,253,acc,a,c,c,,,,,,
